sentence,label
家多次有意無意的提起家的窮酸味，到最後社長直接，嫌棄的捏起鼻子引爆一切，完美詮釋了貧富差距為社會造成的代價,寄生上流
貧窮是一種無論，你如何衣冠楚楚都無法掩蓋的味道，而對於這種味道的壓迫，正是造成許多社會，問題的根源,寄生上流
善良與邪惡，做好事與做壞事，也許從來都不是一種道德感，而是一種生活，環境造成的幸與不幸,寄生上流
能夠善良，是幸運的,寄生上流
而每個犯罪事件背後所謂的邪惡，不只是受，害者的不幸，有時候也是加害者的不幸,寄生上流
"雷文防雷資訊頁，這部是少數看了兩遍的電影，不愧是能在歐美天下拿下奧斯卡獎的神片，我想該作能獲得如此高的評價，是精準地闡述了人類社會的共通性，透過貧富階級的交會，闡述貧富世界真的有所謂絕對的善與惡嗎？，也許一切都是為了生存，就像自然界中寄生蟲那般地平凡無奇，從兩家窮人入主到富人家都是透過介紹，就如富人家女主人對某人說的，""我現在不太相信人，要透過認識的人介紹比較好，就是信任鎖鍊吧""，這就已經基本定調了為何底層階級難以翻身的處境，雖然這在現實未必是一種絕對，但已能很大部分反映了貧富差距的主因，因為這是富人鞏固自身階級的生存法則，然而這樣的法則卻是形成及加大貧富差距，這兩家窮人雖然無疑都有相應的能力從事這份工作，但若不是運氣極好認識到那樣階級的人，根本不會有那樣的機會，且還必須隱瞞自己是窮人，不惜犯罪去掌握這樣充滿危險的機會，諷刺的是兩家窮人的爸爸，竟都感謝尊敬那樣對窮人疵之以鼻、將自己排除於外的的富人，若不是窮跟苦無機會，窮人需要靠犯險創業去賭一個未來？，需要以非法欺騙的手段去取得財富嗎？，就像家媽媽說的 ""如果我是富人，我也可以很善良""，這兩家窮人都犯了罪、殺了人，但無非都是在無可翻身的處境中，為了守護家人、讓家人過上更好的日子，而隨著情勢出乎意料外而漸漸走向無可挽救的黑暗，家爸爸砍殺富人那幕，應是他從富人捏鼻逃離某人丈夫那一幕徹底領悟到，他們之所以窮及為什麼要拼命至此的原因，全是因為富人將自己般的窮人排拒於外，而他們這些窮人不僅覺得是正當的，竟還感恩著富人所給予的那其實不屬於自己的薪水，所以富人能好好安頓家人、愛老婆兒子女兒，他卻總是無能為力，甚至讓家人犯險喪命，他對身為窮人的處境及愚昧感到悲憤，因而極力想扭轉這一切，在一陣精神恍惚中，他的砍殺所展演的是窮人對富人的反抗意志，砍殺的其實是富人的意象，而不是社長，所以事後才對社長感到抱歉並哭泣，但在新聞上、法庭裡，就只是被簡單定義為""隨機殺人""、""蓄意殺人""，""平時溫和的丈夫卻殺人了""的惡人，也大大諷刺了社會在解讀各種社會事件的粗鄙，而撇開物質上的差距，富人真的就比較幸福嗎？，家總是聚在餐桌一起吃飯、彼此想法相通無隱瞞、尊重與支持小孩，家總是各自保持著一定距離、彼此沒有太多想法交流、替小孩安排最好的，可以從家看到作為一家人的向心力、對彼此情感的真實流露，倒是家比較像是依從著富人法則般，體面地安排各式各樣的事，如公式化般生活著，大概唯一讓我覺得家夫妻像真實的人及自己的一幕，只有在沙發上做愛的場景，也反映了當今社會為了功利、物質所遵循的法則、生活樣貌、情感界線，是如何地背離自己與家庭原本真實的樣子，其他其實還有很多有趣的小議題，如某人作為富人的天賦，、家長子跟家長女戀愛、某人的石頭等，導演經常透過隱喻的對話與情節、誇張的戲劇效果，帶出各種議題的反思，真的是非常厲害跟讓人喜歡的手法，要說最喜歡跟印象深刻的一幕是，家媽媽把某人踢下樓那一腳，本意是為了保護窮富兩家人，但卻導致三家人毀滅，某人快死時與某人在馬桶上抽菸重疊一幕，彷彿訴說死亡早已在另一個未知的角落被注定，家長子笑看著某人的遺照，應是替她感到高興，終於永遠離開了那個不屬於她的地下室",寄生上流
雷文防雷資訊頁，有劇情雷，　　《寄生上流》的故事讓人心情十分複雜,寄生上流
氏家庭的媽媽曾說：“因為有錢，所以才，能善良,寄生上流
”善不善良和有不有錢是相關的兩件事嗎？，　　如果生活無虞，或許他們就不需要選擇以欺騙或陷害他人的方式進到富有的家工作，，而會選擇以正當管道去找工作,寄生上流
然而當生活窘迫，生存為第一先要時，真有那麼多人能，選擇正直嗎？看到不少人對氏的評論是：“就是一家無恥的蟑螂垃圾，好手好腳不去，多打幾份工賺錢，折個pizza盒也隨便交差了事，故被老板扣錢,寄生上流
開始賺到錢也不換個房子，住，讓自己身上仍舊散發臭味，自己臭，趁老闆不在偷闖入老闆家住,寄生上流
不小心偷聽到老闆，夫婦私下談論他們身上有臭味竟爆怒殺人，窮人憑什麼有那麼高的自尊心啊？”，　　然而在韓國，租屋需先繳交一筆巨額的押，且首爾加上近郊聚集了全國約一半人口，，寸土寸換住處談何容易？又說到窮人憑什麼有高自尊心？是人就會有自尊心，而有個，理論是，越自卑的人反而自尊心越高，因為會更過於在意別人目光，自覺別人瞧不起他們，,寄生上流
另種情況是，也許表面看來，許多為生存不得不低頭的人，接受了許多屈辱與輕蔑，但，那其實不表示他們沒有自尊，他們只是忍耐，況且爸最後爆發殺了老闆，其實是一連，串的情緒累積，當人的情緒一來，衝動的狀態下，什麼事情都可能發生，人類本就是動物，具備野性，理性不可能永遠都存在能控制一切,寄生上流
，　　前一晚曉得了老闆其實嫌棄自己身上有臭味，而自尊受傷後，回家竟發現家裡被大水，淹沒，更不用說心裡還有與前管家夫妻搏鬥，搞得對方生死未卜，以及害怕自家人說謊東，窗事發所造成的龐大壓力，當前管家先生拿刀在眼前刺殺了女兒和太太，又看到老闆因為，聞到臭味而捏鼻的那幕，瞬間，敏感的神經線斷裂，巨大的壓力承載於手上的那把刀，狠，狠刺向老闆，彷彿那樣就可以不用面對自己無地自容的受挫自卑，以及對未來無望,寄生上流
謊言，被戳破的恐懼,寄生上流
爸其實不真的是罪大惡極的壞蛋，他只是軟弱,寄生上流
想能輕鬆點就成功的平，凡人,寄生上流
因貪念，氏一家選擇了欺騙，導致自己陷入更深層的恐懼－－怕謊言被揭發，失，去薪水，於是只能受前管家夫婦的威脅，甚至失手殺了管家,寄生上流
，　　而前管家夫婦之所以會威脅他們，也是受恐懼驅使，怕活不下去,寄生上流
無處棲身，所以要，他們伸出援手,寄生上流
但當自身難保時，要如何接受一個會是威脅的未爆彈存在？於是氏一家，做出反擊,寄生上流
人都是自私的，尤其雙方做的都是見不得人的事，於是通常都只想掩蓋，因為，認錯或放棄實在太痛苦了，要承擔懲罰，還要失去當下已擁有的好處,寄生上流
如果有錢可以生活，，他們會想如此厚顏無恥地寄生在家，不見天日嗎？因為難有其他的選項了，於是誰都，不想放下眼前這根大浮木,寄生上流
，　　他們確實都做了錯事沒錯，可是這些都是人性，在當下做出那些反應和行為，其實是，可以理解的，就像小朋友偷吃糖果，第一時間會說謊向爸媽否認－－因為不想被責罵，不，想承認自己錯了,寄生上流
，　　氏一家其實沒有真心想殺人滅口過，不然母親也不會在隔日怕他們餓死派女兒送，餐,寄生上流
兒子也不會決意拿石頭欲去殺人時，在看到倒在地上的前管家時，立刻詢問她的狀況，,寄生上流
他們以為自己可以很狠心，實則不然,寄生上流
他們的所作所為確實讓人非議，可是當自己身處，於那個當下，能確認不會為了自保和生存做出類似的事情嗎？，　　也許性格決定了命運，氏的消極－－“你知道什麼計畫絕不會失敗？就是沒有計畫，,寄生上流
人不該有計畫，因為人生永遠不會照著計畫進行”造成了貧窮的悲劇，可是享樂和貪心，完完全全符合人性，於是對於結局除了無奈，還是無奈,寄生上流
世間充斥著不公平，即使善良確，實是選擇，可當誘惑當前或者正存生存危難之際，又有多少人真能無懼地做出善良的選擇，？多求自保而已,寄生上流
號稱印度版寄生上流的白老虎，劇情、窮與富的對比、配樂都讚，激推！，以下有雷，1,寄生上流
 本片號稱是印度版的寄生上流，   對我來說兩片的相同之處：，   寄生上流用往上爬或往下走的樓梯，代表階級，   白老虎則是用電梯代表高階種姓和低階的串連，   而相異之處：，   寄生上流的窮人家庭讓我覺得很可悲，   白老虎倒是很勵志雖然走歪路是不對的，2,寄生上流
 片頭一開始的印度民主、中國自由、女社會主義家，   尤其是中國自由，我一度認為Are you serious?，   但隨著劇情推移，我才明白這些都是大寫的嘲諷，3,寄生上流
 雞舍是貫穿全片的核心概念，   要當被宰的雞，還是片名的白老虎，端看你的選擇，   如同粉紅夫人，印度人的外表說著流利美式英語與美式邏輯思維，   就是因為她靠自己掙脫了雞舍，拿到NYU醫學博士學位，   在她搭機回美前，對巴爾朗說，   你花了一輩子在找那把鑰匙，但其實門根本沒上鎖過，   此時，也是她第二次掙脫雞舍的枷鎖，   ps,寄生上流
 她給巴爾朗的9300盧比超好笑，為什麼是9300這個數字？，       我跟主角一樣好奇，單純只是因為身上就剩下這些現了吧，       把現都給了巴爾朗，也代表她不會再回印度這個雞舍，4,寄生上流
 巴爾朗體悟到自己其實終究只是雞舍裡的雞代表奴性，   始於莫名被迫替主人背黑鍋，   那段導演的拍攝手法很特別，近距離斜拍著巴爾朗的臉，   隨著巴爾朗漸漸明白、紅了眼眶，這段情緒轉折的演技很強，5,寄生上流
 在馬路上巴爾朗被老太太纏著要錢，這段情緒也很強，   背景是車水馬龍人擠人的印度日常，巴爾朗在路上幾近發狂，   戲劇張力很神！，6,寄生上流
 是說巴爾朗發現自己根深蒂固的奴性、繼而想要拋棄奴性之後，   我覺得他的妝容有慢慢改變了，   在這之前覺得他整個人就是髒髒的、獐頭鼠目，   但是帶主人去廟裡拜拜時，他的臉變乾淨了、而後個性也漸漸穩重，7,寄生上流
 最後巴爾朗掙脫奴性再次強調走歪路是不對的，   用主人角度富人思維去思考怎麼做生意、如何成功擺脫窮人思維，   這也就是我第一點所說：，   寄生上流讓我覺得窮人家庭可悲，而白老虎卻很勵志的原因，8,寄生上流
 成功後的巴爾朗超像youtuber喬瑟夫ChillSeph啦XDD，   害我一直出戲哈哈哈哈，    片尾的窮人要成功就只能靠犯罪或政治也很發人省思，   不知道這是不是印度社會的常態？！，10,寄生上流
 奶奶真的神討厭！！！，    但她其實也只是雞舍裡的老母雞大家長罷了，總結：激推！，      昨晚睡前看的，先打出自己印象深刻的地方，      歡迎有看的版友一起來討論！,寄生上流
雷，窮酸邊緣肥宅靠著網飛上線看完這片之後，，感想只有，，看到家女兒坐在家裡淹水還噴糞水的馬桶上抽菸那幕，，我就覺得這片得奧斯卡實至名歸，，印象深刻程度就像阿飛正傳梁朝偉梳頭一樣，，讚,寄生上流
有雷，而且是大爆雷，還爆出了99%的人沒看懂的恐怖黑暗劇情真相!!!，這篇文主要是要揭密寄生上流當中最恐怖黑暗的劇情真相，是大多數觀眾與影評人似乎沒發現/沒注意到/沒意識到的黑暗劇情，這也是整文專家我看了超過三十遍之後才發現的/注意到的/意識到的，以下就要揭密寄生上流當中最恐怖黑暗的劇情真相，心臟不夠強的人建議就此打住，1,寄生上流
爸身上味道的真相，爸身上的味道，似乎99%的人並沒有準確的認知，什麼地下室的味道,寄生上流
舊衣服的味道,寄生上流
過期香水的味道,寄生上流
但只這樣形容並不夠準確!，從社長與夫人在沙發上邊做X邊描述的話來分析，爸的味道很明顯與媽/某人/某人更加強烈且好辨認，但又不是從頭到尾24小時都那樣如果真的24小時都有那麼強烈的味道,寄生上流
可能面試時就已，經會被社長注意到並提問了，而是,寄生上流
有時候又沒有,寄生上流
似有似無的那樣子，注意分析社長與夫人的說法，可以知道，可以知道，他們口中說的爸有難以形容的味道,寄生上流
有時很強烈夫人翹腳掩鼻,寄生上流
有，時卻又還好而已平時開車時，所以，那個味道，應該是所謂的壓力味混合著各種味道飄散出來，也就是因為突然的壓力暴增,寄生上流
身體出現的一種反應跟心跳加快,寄生上流
手微微顫抖一樣，,寄生上流
是爸無法自己控制的,寄生上流
而從全身毛細孔散發出壓力味混合著各種味道飄散出來，不相信的話，再看一次電影，在哪些場景與情境時,寄生上流
爸壓力味暴增,寄生上流
讓社長與夫人很明顯地聞到異味?，想起來了嗎?，這樣有沒有恍然大悟的感覺?，也就是說，家四人的確會因為長期住在半穴居的房子/洗衣服曬衣服的環境/買的衣服好壞新舊，而有一點點與社長一家不同的特殊味道，但如果只是因為這些單純環境的因素影響，那爸的味道應該跟媽,寄生上流
不至於特別被社長與夫人拿來單獨針對，之所以被單獨拿出來針對,寄生上流
主要是因為爸會有獨有的壓力味,寄生上流
壓力味伴隨著其他各種，味道,寄生上流
就是社長與夫人所說的異味，而壓力味正是壓力最大又開始要邁入老年的中年男人特有的身體反應情況,寄生上流
，至於女管家丈夫躲在地下室那個,寄生上流
應該也是有壓力味,寄生上流
，再加上在地下室被綁住,寄生上流
砍殺某人這之間應該沒有洗澡或換衣服,寄生上流
，所以壓力味伴隨著其他各種味道,寄生上流
又沒洗澡或換衣服,寄生上流
導致味道更加強烈,寄生上流
，所以社長當時被強烈的氣味給嗆到要掩鼻拿鑰匙，爸也才會因此有所共鳴，所以，也絕對不是像有些人說的什麼女管家丈夫躲進地下室後從來都沒洗澡,寄生上流
，雖然電影畫面沒出現淋浴間或蓮蓬頭,寄生上流
，但是當初用來設計躲避戰爭的地下空間真的會沒考慮到人需要洗澡? 一定有洗澡設備的!，而且女管家偷偷下來送食物的時候也應該會幫忙帶新衣物給丈夫，所以，把社長與夫人嫌棄的味道都歸咎於平常生活環境,寄生上流
很明顯是不準確的分析,寄生上流
更重，要的應該是個人獨有的味道,寄生上流
而這是即使賺到錢有了錢也很難改變的，還不懂?，試想，一個已經爆肝工作20年還要養一家四口的中年工程師,寄生上流
個人獨有的味道，與，一個沒有什麼工作生活壓力的富二代,寄生上流
個人獨有的味道，真的只是有沒有洗澡,寄生上流
有沒有穿新衣服,寄生上流
有沒有從半穴居搬到地上房子就能改變?，2,寄生上流
社長與夫人的真相，社長與夫人的婚姻關係，應該是有點像是以下用台灣的情況來比喻，社長=一般人家出身的學生,寄生上流
但成績好考上台清交的資訊工程系,寄生上流
畢業後去了竹科的電，子公司工作約3-5年，透過公司高層的介紹或有意安排的相親去認識到社長夫人，社長夫人=家裡算很有錢的公主,寄生上流
可能是那種地主包租公的小女兒,寄生上流
包租事業與家產都，輪不到她,寄生上流
但她也從不會缺任何錢就對了,寄生上流
然後就是讀學店的文組輕鬆系,寄生上流
還沒畢業，就已經拿零用錢去整容整到鼻子一看就是標準的韓式隆鼻，有錢的地主包租公岳父出資給女婿開了一間小公司，有一幕有帶到社長的辦公室環境,寄生上流
很明顯是中小企業裡的小公司,寄生上流
，而這種小公司的社長,寄生上流
通常都是出錢最多的主要股東的親朋好友,寄生上流
關係比能力更重要，再加上，其實家裡大大小小的事情,寄生上流
最後決定與執行的,寄生上流
其實是夫人，社長雖然有給意見,寄生上流
但有點像顧問而已,寄生上流
，夫人才是真正手握實權的執行長，在韓國重男輕女的傳統家庭觀念下，夫人,寄生上流
可以讓社長尊重她到讓她當家庭的實權執行長這種地步，但夫人很明顯沒有可以跟社長相比的才,寄生上流
，甚至跟某人,寄生上流
原女管家相比,寄生上流
除了因為有整容所以顏值比較吸睛之外，根本看不出來夫人有什麼特別的優點,寄生上流
可以讓社長看上她，所以，綜合一切，社長會如此尊重夫人,寄生上流
很大原因是因為岳父吧，那麼，爸與社長的對話，尤其是爸問社長，即使夫人什麼都不會做,寄生上流
什麼也做不好,寄生上流
您應該還是一樣愛她吧，社長會臉色大變，這就是背後恐怖黑暗的真相了，3,寄生上流
家四人的真相，家四人其實應該是重組家庭，也就是，爸與媽原本都是跟別人生小孩的，爸是跟別人生某人，媽是跟別人生某人，後來變成單親帶小孩，最後兩人各帶一個孩子重組為一個新家庭，再加上韓國嚴重的重男輕女觀念，這樣子，電影當中很多家四人的互動與言語都顯得更有道理，某人是爸親身的但是卻是不討喜的女孩,寄生上流
某人是討喜的男孩卻是媽跟別人生的，某人遺傳爸的眼睛眉毛，某人遺傳媽的鼻子與嘴媽是因為發福臉上多肉,寄生上流
會跟某人極像，韓國的重組家庭，雖然大家經過重組已經是一家人了，但是是不是自己親生的，在韓國傳統觀念裡,寄生上流
尤其是男人的觀念裡,寄生上流
會很介意的，這很完美地解釋了，為什麼爸事業不順開始自暴自棄之後,寄生上流
也沒有期望兒女可以過更好的意思，因為,寄生上流
自己親生的是某人,寄生上流
就算飛黃騰達也是要嫁給別人，某人不是自己親生的,寄生上流
他就算以後飛黃騰達也不會變成我親生兒子，所以，這也就是爸後來的心態，一切都隨便啦，煩死了，還能活著就好，家裡還有東西吃,寄生上流
還有個床可以睡,寄生上流
基本的吃喝拉撒睡都有就好，電影如果再多看幾次，就能看出家四人的互動與背後心態,寄生上流
可以看出四人存在著一個無法抹滅的隔閡,寄生上流
司機與某人的真相，原司機開車送某人回家，問某人詳細地址，真的只是想要將乘客安全送回家而已，根本沒有什麼非分之想，單純就是想到，對方女孩子,寄生上流
到火車站之後還要再走路或轉搭公車吧?，還是直接把對方送到住家樓下比較安全吧，當然會跟她說我送你到住家吧，這樣也能看成是司機對某人有非分之想?，請問各位是以為韓國男人的審美觀跟台灣男人的審美觀差很多嗎?，整文專家我看過電影超過三十遍之後，很明顯地確定了，某人,寄生上流
很普通好嗎?，司機外表,寄生上流
好嗎?，居然會想歪想成司機想性X某人?  某人也未免自我感覺太良好?，所以，司機單獨面對某人時,寄生上流
內心是正人君子的，但是，如果司機是單獨面對社長夫人時,寄生上流
就有點難說了,寄生上流
，社長夫人與帥氣的司機與年輕歐爸樣的某人同學原本的家教應該有不可告人的關係，而某人可以很自然地脫下自己的內褲,寄生上流
想要誣陷司機性X她之類的，可以脫得如此清新自然，怎麼看也不太正常，所以，另外一個恐怖黑暗點就是，某人可能私底下有瞞著家人在外面靠出賣身體賺錢的過往經驗，脫內褲才可能脫得如此快速自然，又因為有這段不為人知的社會磨練經驗，所以某人明明是家年紀最小的,寄生上流
表現出來的成熟度卻是家最強的,寄生上流
一點也不像人，生只有在學校與家裡度過的公主病宅女，尤其是靠出賣身體賺錢的女生,寄生上流
幾乎都會有煙癮不相信的可以去接觸看看,寄生上流
某人在，電影中點煙來抽的鏡頭比任何人都多,寄生上流
原女管家與管家丈夫的真相，經過三十多次的反覆仔細觀看，整文專家我驚訝地發現了更加恐怖黑暗的真相!，原女管家與管家丈夫的真相，非常的恐怖黑暗!，女管家與丈夫是這部電影裡最早第一波寄生蟲，女管家夥同丈夫把原本住在那裡的老人一家滅口了，事後偽裝成那一家人全家移民的假象，後來社長一家人搬進來之後，女管家與丈夫本來也是打算同樣的養套殺的套路再來一遍，本來要等時機成熟後動手滅口社長一家，沒想到中途跑出來家四人搗亂，把原女管家陷害到被社長夫人逼退，所以，家四人是電影裡第二波的寄生蟲，第二波寄生蟲家四人排擠到第一波寄生蟲原女管家與丈夫，所以最後宿主不是被第一波寄生蟲原女管家與管家丈夫給滅掉,寄生上流
而是被第二波寄生蟲，家四人給滅掉，電影中出現很多暗示與線索，原女管家，為什麼用老虎鉗剪斷監視器那麼熟練?，我身為一個管家,寄生上流
隨身攜帶個老虎鉗是很正常的，為什麼社長夫人在花園趴睡會那麼難被叫醒?，被下安眠藥昏睡，雨夜當晚,寄生上流
她臉上有被揍到瘀青的痕跡,寄生上流
但卻沒有一絲血跡?，代表清洗過,寄生上流
但如果是自己的血跡為什麼要特別清洗,寄生上流
可見揍她的人最後被她,寄生上流
，原女管家的丈夫，從地下室開始暴怒開始，突然會製作暗器並沒有猶豫地反殺某人?，上樓後經過廚房不需要查看挑選,寄生上流
就可以直接抓起當中最有殺傷力的利刃?，最後殺某人的俐落樣子也不像是第一次動手用刀殺人?，還有一幕,寄生上流
女管家與丈夫在陽光燦爛的下午鳩佔鵲巢,寄生上流
豪宅變成兩人的甜蜜世界,寄生上流
，兩人在客廳跳起舞,寄生上流
背景是外面的花園,寄生上流
，最後女管家也是被爸埋在花園,寄生上流
代表豪宅的花園土壤其實很容易能挖開掩埋屍體,寄生上流
，前任屋主一家就被兩人埋在花園裡，才講了5點，就已經打字打到很累了，如果各位影迷覺得整文專家我分析的有道理，想要再多看一些的話，整文專家我改天再繼續說明後面的幾點，先這樣子，謝謝收看,寄生上流
雷文防雷資訊頁，以下有雷，部落格版，有附圖→　　《搞鬼》，像匹躁動的黑馬！之所以稱為黑馬，在於本片劇情設定出現一個成功的反，轉，展現出乎意料的精彩，原本以為《搞鬼》充其量只是頭孱弱的驢子，技窮端不出新把，戲，像諸多的低成本恐怖片，盡用老套的方式嚇唬觀眾，而忽略在劇本方面下功夫，殊不，料後半的反轉如倒吃甘蔗，益發吸睛，引人入勝，不自覺地回想起2018年被譽為神作的日，本電影《一屍到底》的宣傳標語，撐過前面的37分鐘，《搞鬼》有異曲同工之妙，只，要觀眾撐過前半部裝神弄鬼，挑戰耐心底線的部分，旋即有個令人瞠目結舌的劇情，映入，眼簾，完全顛覆先前對《搞鬼》的印象,寄生上流
，　　為什麼餐具憑空消失？為什麼音樂自動播放？為什麼電視遙控器忽然失控？為什麼有，個杯子出現在屋簷？為什麼維修工能在無人在家時進入家中？為什麼男主角忽然被鎖在櫃，子？《搞鬼》前半部鋪墊了大量的懸念，後半開始進入解答時間，如同《一屍到底》一般，，開始解釋種種事件的緣由，原來主角的家庭竟是上演韓國神作《寄生上流》的戲碼，出，現了不速之客，暗中蠶食這個家的資源，瞬間揭開所有家中不合理事件的事發經過，但真，正高竿的一手還在後面,寄生上流
，　　　如果只是不速之客惡作劇這種簡單的理由，是不足以將《搞鬼》喻為黑馬，真正令，《搞鬼》昇華成佳作的原因是，受害者與加害者兩種身分的反轉,寄生上流
強坦尼所飾演的刑警葛，雷，他得忙著查兒童受虐案件，又煩心於家中種種離奇事件與妻子紅杏出牆的醜事，可謂，蠟燭兩頭燒，像是一位被害者，不免激起觀眾的同情心，反觀寄居刑警葛雷家中的青少年，Alec，乍看之下他恣意妄為，不斷惡作劇干擾屋主一家的生活，完全打壞跳屋的規定，，令同夥Mindy深感無奈，他中二的作為，無疑是位加害者，有趣的是，刑警葛雷手上正，在查的案件，成了本片的反轉關鍵，瞬間打破觀眾的預想，眼前的受害者不見得是無辜的，，而加害者其實有其理由,寄生上流
，　　坦白說，《搞鬼》很適合推薦給法界人士看，當年的受害者不由分說，果斷扣下板機，，格斃兇手的那一槍，道出了許多人的心聲，觸法便該承擔法律責任，為自己的行為付出，代價，不要動不動就站在犯罪者的立場，為之找理由，成天用可教化幫罪犯開脫，這，讓受害者情何以堪？受害者快意恩仇的做法，令觀眾無法深究兇手的童年陰影或犯罪心理，，卻能從此杜絕了兇手再犯的可能，幫助當地其他兒童免於受虐，有效改善治安問題,寄生上流
虐，待兒童的社會案件層出不窮，亟難解決，但至少當年的受害者用私刑的模式，成功解決了，一位虐待兒童的兇手,寄生上流
，  《搞鬼》揉合了日韓兩大經典之作的元素，敘事形式走《一屍到底》的視角，劇情內容則，有《寄生上流》的影子，再用一起案外案，巧妙地製造反轉，不按套路，充滿驚喜，展現，獨特的創意,寄生上流
雷文防雷資訊頁，朝外望，能夠看見與窗戶等高的街道，日光落在哪裡，空間畸零的室內則是暗的,寄生上流
斗室的牆上吊掛著廉價的飾品和照片，最顯眼的一幀，是家媽媽年輕時拋擲鏈球獲獎的紀念照片,寄生上流
一家四口人沒事，沒工作外務，一家四口人都在，在找免費的WIFI，馬桶在家裡的最高處，他們住的比屎尿還低,寄生上流
應徵到的零工賺了點小錢，一家人買了些吃食渡日，街上那個醉漢又來了，踅靠近他們，正要在窗邊解手撒尿，爸爸囁嚅的說：算了吧，不要去惹事,寄生上流
大兒子某人那個上大學的朋友來了，喝退醉漢，送來家裡一顆多餘的石頭，還介紹了一份英文家教的工作給某人,寄生上流
，大學重考生某人拿著妹妹某人偽造的在學證明前去應徵工作，難得衣冠整齊，爸爸在那棟低於世間一切的房子裡望著兒子登上階梯,寄生上流
你是爸爸的驕傲噢,寄生上流
，到了應徵家教的屋子，那是一棟遠高於地面的大宅，拾階上，管家領著某人進去，宅邸佔地甚廣，庭園開闊綠草如茵，茂密的植栽像畫，到處明晃晃有光,寄生上流
大宅住著有些太過單純的女主人，和大企業社長的男主人育有一對子女,寄生上流
某人輕易應徵上家教差事，靈機一動，編了謊話佯稱自己妹妹自美國留學歸國，可以替具有美術天份的小兒子補習繪畫,寄生上流
不諳世事善良的女主人被兩兄妹唬得一愣一愣，小兒子繪畫家教的職缺也輕易到手，緊接著，一家人想方設法逼退了整個大宅所有的僱傭僕從，爸爸成了司機，媽媽變為管家，收入充盈了，奮力謀生，四口人終得飽食，活得像，人了,寄生上流
這是階級翻轉的幻想伊始，醉漢再次來到地下的家的窗邊，爸爸說話宏聲了，要去教訓醉漢，兒子也跟上，一家人笑著，看他們到了地上，終於擁有自信，相信自己離開地下往更高的地方去了,寄生上流
，社長一家人外出露營，山中無老虎猴子稱大王，家人痛快入住，紮紮實實過了一宿富人日子,寄生上流
其實還是吃喝拉撒而已，但是對窮人來說，那還有別的其他?，太太真是個有錢卻很善良的人啊,寄生上流
，不是有錢卻很善良，而是有錢所以善良,寄生上流
處在更高的階級，才是富太太能夠選擇善良的核心原因，下層階級是沒有選擇的，他們註定醜陋、發出惡臭，得要穿廉價的褻褲，但不自知,寄生上流
